grp	class
Egr1	1	early
Fos	1	early
Npas4	1	early
Fosb	1	early
Nr4a1	1	early
Junb	1	early
Ier2	1	early
1700016P03Rik	1	early
Jun	1	early
Tiparp	1	early
Malat1	1	early
Btg2	1	early
Nr4a2	2	late
Dusp1	1	early
Nr4a3	2	late
Egr2	1	early
Homer1	2	late
Gadd45g	2	late
Fosl2	2	late
Fbxo33	1	early
Sik1	1	early
Egr4	2	late
Ccnl1	1	early
Dnajb1	1	early
Ifrd1	2	late
Irf2bp2	1	early
Slc25a3	2	late
Tob1	1	early
Msmo1	2	late
Mcl1	1	early
Nfil3	2	late
Srsf5	1	early
Nap1l5	2	late
Hmgcr	2	late
Selenok	2	late
Gltscr2	2	late
Per1	2	late
Arl5b	2	late
Vgf	2	late
Cwc25	1	early
Acd	2	late
Leng8	2	late
Slc2a3	2	late
Srf	2	late
Syt4	2	late
Zdbf2	2	late
Ldlr	2	late
Stard4	2	late
Dusp6	2	late
Cdk11b	2	late
Ubc	2	late
Plk2	2	late
Cyp51	2	late
Insig1	2	late
Cited2	2	late
Srrm2	2	late
Midn	2	late
Srsf2	1	early
Atf4	2	late
Sc5d	2	late
Btbd10	2	late
Maff	2	late
Elovl5	2	late
Crem	2	late
Pcsk1	2	late
Ppp1r15b	2	late
Trib1	2	late
Sertad1	2	late
Inpp5f	2	late
Sox9	2	late
Peg10	2	late
Cdkn1b	2	late
Rgs2	2	late
Acsl4	2	late
Vps37b	2	late
Chka	2	late
Rheb	2	late
Ddx3y	2	late
Tsc22d2	2	late
Arih1	2	late
Hdac5	2	late
Taf1	2	late
Cltc	2	late
Slc6a17	2	late
A830010M20Rik	2	late
Skil	2	late
Pqbp1	2	late
Acly	2	late
Zswim6	2	late
Hmgcs1	2	late
Hsd17b12	2	late
Pcdh8	2	late
Ppp2ca	2	late
Hspa5	2	late
Nefl	2	late
Sqle	2	late
Arf4	2	late
